file,frame,latitude,longitude,category,length,normalized_length
roaddamage.mp4,520,None,None,4,207.228,0.094
roaddamage.mp4,520,None,None,4,251.675,0.114
roaddamage.mp4,520,None,None,4,398.58,0.181
roaddamage.mp4,520,None,None,4,139.872,0.063
roaddamage.mp4,530,None,None,4,361.243,0.164
roaddamage.mp4,530,None,None,1,431.205,0.196
roaddamage.mp4,530,None,None,4,301.299,0.137
roaddamage.mp4,530,None,None,4,194.274,0.088
roaddamage.mp4,530,None,None,1,731.346,0.332
roaddamage.mp4,530,None,None,4,135.54,0.062
roaddamage.mp4,540,None,None,4,193.665,0.088
roaddamage.mp4,540,None,None,4,334.064,0.152
roaddamage.mp4,540,None,None,4,465.623,0.211
roaddamage.mp4,540,None,None,4,298.827,0.136
roaddamage.mp4,540,None,None,4,158.405,0.072
roaddamage.mp4,540,None,None,1,456.784,0.207
roaddamage.mp4,540,None,None,4,206.521,0.094
roaddamage.mp4,540,None,None,4,335.634,0.152
roaddamage.mp4,540,None,None,4,527.044,0.239
roaddamage.mp4,550,None,None,4,316.922,0.144
roaddamage.mp4,550,None,None,4,363.292,0.165
roaddamage.mp4,550,None,None,1,416.798,0.189
roaddamage.mp4,560,None,None,4,222.859,0.101
roaddamage.mp4,560,None,None,4,226.102,0.103
roaddamage.mp4,570,None,None,4,265.035,0.12
roaddamage.mp4,570,None,None,4,238.467,0.108
roaddamage.mp4,570,None,None,4,168.716,0.077
roaddamage.mp4,570,None,None,4,171.781,0.078
roaddamage.mp4,580,None,None,4,283.384,0.129
roaddamage.mp4,580,None,None,4,163.733,0.074
roaddamage.mp4,580,None,None,4,695.396,0.316
roaddamage.mp4,580,None,None,1,246.505,0.112
roaddamage.mp4,580,None,None,4,148.633,0.067
roaddamage.mp4,590,None,None,4,184.514,0.084
roaddamage.mp4,590,None,None,4,257.84,0.117
roaddamage.mp4,590,None,None,4,125.033,0.057
roaddamage.mp4,600,None,None,4,269.646,0.122
roaddamage.mp4,600,None,None,4,536.667,0.244
